Transaction Number,Transaction Date,Transaction Type,Transaction sub type,Registration type,Is Free Hold?,Usage,Area,Property Type,Property Sub Type,Amount,Transaction Size (sq.m),Property Size (sq.m),Room(s),Parking,Nearest Metro,Nearest Mall,Nearest Landmark,No. of Buyer,No. of Seller,Master Project,Project
102-19863-2024,3/28/2024 12:12,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,AL FURJAN,Unit,Flats,1430000,116.25,116.25,2 B/R,1,Ibn Battuta Metro Station,Ibn-e-Battuta Mall,Sports City Swimming Academy,1,2,,Zazen Gardens
102-19864-2024,3/28/2024 11:42,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,BUSINESS BAY,Unit,Flats,1500000,63.24,63.24,1 B/R,1,Business Bay Metro Station,Dubai Mall,Downtown Dubai,1,1,,Peninsula Three
102-19865-2024,3/28/2024 12:16,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,BUSINESS BAY,Unit,Flats,800000,42.81,42.81,Studio,1,Business Bay Metro Station,Dubai Mall,Downtown Dubai,1,1,,CANAL HEIGHTS 2
102-19866-2024,3/28/2024 12:59,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,JUMEIRAH LAKES TOWERS,Unit,Flats,590000,35.98,35.98,Studio,1,Damac Properties,Marina Mall,Burj Al Arab,1,1,,SEVEN CITY JLT
102-19868-2024,3/28/2024 12:12,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,DUBAI STUDIO CITY,Unit,Flats,480000,33.16,33.16,Studio,1,,,Motor City,1,1,,SAMANA GOLF AVENUE
102-19869-2024,3/28/2024 11:46,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,CITY WALK,Unit,Flats,1900000,68.38,68.38,1 B/R,1,,,,1,1,,Celadon 
102-19870-2024,3/28/2024 13:04,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,DUBAI HILLS,Unit,Flats,1639828,78.32,78.32,1 B/R,1,First Abu Dhabi Bank Metro Station,Mall of the Emirates,Global Village,1,2,,ELLINGTON HOUSE II
102-19871-2024,3/28/2024 14:00,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,BURJ KHALIFA,Unit,Flats,2450000,71.62,71.62,1 B/R,1,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Burj Khalifa,1,1,,Grande
102-19872-2024,3/28/2024 12:48,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,BURJ KHALIFA,Unit,Flats,3700000,119.48,119.48,2 B/R,1,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Burj Khalifa,2,2,,"The St. Regis Residences, Downtown Dubai"
102-19873-2024,3/28/2024 13:32,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,MEYDAN ONE,Unit,Flats,820000,55.36,55.36,1 B/R,1,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Downtown Dubai,1,1,,Azizi Riviera 42
102-19874-2024,3/28/2024 14:17,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,JUMEIRAH LAKES TOWERS,Unit,Flats,600000,38.59,38.59,Studio,1,Damac Properties,Marina Mall,Burj Al Arab,1,1,,SEVEN CITY JLT
102-19887-2024,3/28/2024 17:29,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,JUMEIRAH VILLAGE CIRCLE,Unit,Flats,686609,43.55,43.55,Studio,1,Dubai Internet City,Mall of the Emirates,Sports City Swimming Academy,1,1,,Luma22
102-19889-2024,3/28/2024 18:00,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Ras Al Khor Industrial First,Unit,Flats,2472296,112.59,112.59,2 B/R,1,,,,1,1,,SOBHA ONE
102-19890-2024,3/28/2024 18:00,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,AL FURJAN,Unit,Flats,1799135,129.57,129.57,2 B/R,1,,,,2,1,,AVENUE RESIDENCE 6
102-19891-2024,3/28/2024 18:00,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,DUBAI MARINA,Unit,Flats,2040000,99.75,99.75,2 B/R,1,Marina Towers,Marina Mall,Burj Al Arab,1,1,,Aeternitas Tower
102-19892-2024,3/28/2024 18:00,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,ARJAN,Unit,Flats,542700,37.61,37.61,Studio,1,First Abu Dhabi Bank Metro Station,Mall of the Emirates,Motor City,1,1,,Oxford Gardens
102-19893-2024,3/28/2024 18:00,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Ras Al Khor Industrial First,Unit,Flats,2753794,116.82,116.82,2 B/R,1,,,,1,1,,SOBHA ONE
102-4359-2024,3/28/2024 14:03,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,BUSINESS BAY,Unit,Flats,2520300,140.51,140.51,1 B/R,1,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Downtown Dubai,1,1,,TERRACES MARASI DRIVE
102-4889-2024,3/28/2024 14:04,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,BUSINESS BAY,Unit,Flats,1999500,100.77,100.77,1 B/R,1,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Downtown Dubai,1,1,,TERRACES MARASI DRIVE
102-894-2024,3/28/2024 16:02,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Wadi Al Safa 4,Building,Villas,2800000,232.67,232.67,3 B/R,,,,,2,1,,California Village
102-932-2024,3/28/2024 16:01,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Wadi Al Safa 4,Building,Villas,2700000,281.64,281.64,3 B/R,,,,,1,1,,California Village
102-946-2024,3/28/2024 12:05,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Wadi Al Safa 4,Building,Villas,3927798,325.22,325.22,5 B/R,,,,,2,1,,California Village
105-100-2024,3/28/2024 13:23,Mortgage,Mortgage Pre-Registration,Off-Plan,Free Hold,Residential,MEYDAN AVENUE,Unit,Flats,400469,65.37,65.37,1 B/R,1,Business Bay Metro Station,Dubai Mall,Downtown Dubai,0,0,,Azizi Park Avenue 
105-101-2024,3/27/2024 16:20,Mortgage,Mortgage Pre-Registration,Off-Plan,Free Hold,Residential,MEYDAN ONE,Unit,Flats,448077,43.74,43.74,1 B/R,1,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Downtown Dubai,0,0,,Azizi Riviera 24
105-104-2024,3/28/2024 13:45,Mortgage,Mortgage Pre-Registration,Off-Plan,Free Hold,Residential,MEYDAN ONE,Unit,Flats,495000,48.06,48.06,1 B/R,1,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Downtown Dubai,0,0,,Azizi Riviera 25
105-105-2024,3/28/2024 14:13,Mortgage,Mortgage Pre-Registration,Off-Plan,Free Hold,Residential,MEYDAN ONE,Unit,Flats,459839,35.65,35.65,Studio,1,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Downtown Dubai,0,0,,Azizi Riviera 43
11-10655-2024,3/28/2024 12:36,Sales,Sale,Ready,Free Hold,Residential,JUMEIRAH VILLAGE CIRCLE,Unit,Flats,916000,80.66,80.66,1 B/R,B-28,Dubai Internet City,Mall of the Emirates,Sports City Swimming Academy,1,1,,Uniestate Prime Tower
11-10846-2024,3/28/2024 11:09,Sales,Sale,Ready,Free Hold,Residential,SOBHA HEARTLAND,Unit,Flats,1705000,75.07,75.07,1 B/R,P1-65,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Downtown Dubai,2,1,,Sobha Hartland Waves Grande
11-10976-2024,3/28/2024 13:39,Sales,Sale,Ready,Free Hold,Residential,PALM JUMEIRAH,Unit,Flats,9108692.67,501.18,501.18,3 B/R,B-209,Jumeirah Beach Resdency,Marina Mall,Burj Al Arab,1,1,,GRANDEUR RESIDENCES
11-10999-2024,3/28/2024 12:39,Sales,Sale,Ready,Free Hold,Residential,JUMEIRAH LAKES TOWERS,Unit,Flats,2575176.5,77.75,77.75,1 B/R,P2-161,Jumeirah Lakes Towers,Marina Mall,Sports City Swimming Academy,1,1,,
11-11038-2024,3/28/2024 12:33,Sales,Sale,Ready,Free Hold,Residential,BUSINESS BAY,Unit,Flats,1750000,85.61,85.61,1 B/R,P3-14,Business Bay Metro Station,Dubai Mall,Burj Khalifa,1,2,,PARAMOUNT TOWER HOTEL & RESIDENCES
11-11047-2024,3/28/2024 12:29,Sales,Sale,Ready,Free Hold,Commercial,HORIZON,Land,Sports Club,57839656,4799.43,4799.43,,,Creek Metro Station,Dubai Mall,Downtown Dubai,2,1,,
11-11079-2024,3/28/2024 13:38,Sales,Sale,Ready,Free Hold,Residential,DISCOVERY GARDENS,Unit,Flats,415000,46,46,Studio,,Harbour Tower,Ibn-e-Battuta Mall,Sports City Swimming Academy,2,1,,
11-11083-2024,3/28/2024 11:44,Sales,Sale,Ready,Free Hold,Residential,MEYDAN AVENUE,Unit,Flats,1964160,138.78,138.78,2 B/R,G-08,Business Bay Metro Station,Dubai Mall,Downtown Dubai,1,1,,THE POLO RESIDENCE
11-11097-2024,3/28/2024 13:50,Sales,Sale,Ready,Free Hold,Residential,JUMEIRAH VILLAGE CIRCLE,Unit,Flats,610000,83.89,83.89,1 B/R,B-42,Dubai Internet City,Mall of the Emirates,Sports City Swimming Academy,1,1,,MAY RESIDENCE
11-11100-2024,3/28/2024 12:30,Sales,Sale,Ready,Free Hold,Residential,JUMEIRAH VILLAGE CIRCLE,Unit,Flats,610000,83.54,83.54,1 B/R,B-176,Dubai Internet City,Mall of the Emirates,Sports City Swimming Academy,1,1,,MAY RESIDENCE
11-11155-2024,3/28/2024 10:40,Sales,Sale,Ready,Free Hold,Residential,JUMEIRAH VILLAGE CIRCLE,Unit,Hotel Rooms,714400,45.72,45.72,Studio,EU,Nakheel Metro Station,Marina Mall,Sports City Swimming Academy,1,1,,Five at Jumeirah Village Circle Dubai
11-11175-2024,3/28/2024 10:15,Sales,Sale,Ready,Free Hold,Residential,JUMEIRAH VILLAGE CIRCLE,Unit,Flats,915000,97.2,97.2,2 B/R,P2-38,Dubai Internet City,Mall of the Emirates,Sports City Swimming Academy,2,1,,Binghatti Gems
11-11177-2024,3/27/2024 15:19,Sales,Sale,Ready,Free Hold,Residential,Madinat Hind 4,Land,Residential,1527000,170.83,170.83,,,,,,2,1,,DAMAC HILLS (2) - PACIFICA 
11-11181-2024,3/28/2024 10:53,Sales,Sale,Ready,Free Hold,Residential,JUMEIRAH VILLAGE CIRCLE,Unit,Flats,567628.5,56.1,56.1,1 B/R,P3-06,Dubai Internet City,Mall of the Emirates,Sports City Swimming Academy,1,3,,
11-11196-2024,3/28/2024 10:10,Sales,Sale,Ready,Free Hold,Residential,ARJAN,Unit,Flats,1200000,79.28,79.28,1 B/R,G-46,Sharaf Dg Metro Station,Mall of the Emirates,Motor City,1,1,,Vincitore Boulevard
11-11217-2024,3/27/2024 16:49,Sales,Sale,Ready,Free Hold,Residential,BUSINESS BAY,Unit,Flats,2035444,136.75,136.75,2 B/R,G-151,Business Bay Metro Station,Dubai Mall,Downtown Dubai,1,1,,CHURCHILL TOWER
11-11226-2024,3/28/2024 12:30,Sales,Sale,Ready,Free Hold,Residential,JUMEIRAH VILLAGE CIRCLE,Unit,Flats,800000,72.44,72.44,1 B/R,P-06,Dubai Internet City,Mall of the Emirates,Sports City Swimming Academy,1,1,,
11-11246-2024,3/28/2024 10:34,Sales,Sale,Ready,Free Hold,Residential,DISCOVERY GARDENS,Unit,Flats,760000,90,90,1 B/R,,Harbour Tower,Ibn-e-Battuta Mall,Sports City Swimming Academy,1,1,,
11-11270-2024,3/28/2024 14:14,Sales,Sale,Ready,Free Hold,Residential,PALM JUMEIRAH,Unit,Flats,4309069,343.95,343.95,3 B/R,"Integrated (09, 10)",Palm Jumeirah,Marina Mall,Burj Al Arab,3,1,,GOLDEN MILE
11-11274-2024,3/27/2024 16:29,Sales,Sale,Ready,Free Hold,Residential,BUSINESS BAY,Unit,Flats,1000000,43.55,43.55,1 B/R,B1-36,Business Bay Metro Station,Dubai Mall,Downtown Dubai,2,2,,ZADA TOWER
11-11296-2024,3/27/2024 16:36,Sales,Sale,Ready,Free Hold,Residential,INTERNATIONAL CITY PH 1,Unit,Flats,260000,45,45,Studio,,Rashidiya Metro Station,City Centre Mirdif,Dubai International Airport,1,1,,
11-11306-2024,3/28/2024 12:49,Sales,Sale,Ready,Free Hold,Residential,BARSHA HEIGHTS,Unit,Flats,975315,40.41,40.41,Studio,G3,Dubai Internet City,Mall of the Emirates,Burj Al Arab,1,1,,GRAND CENTRAL
11-11316-2024,3/27/2024 15:18,Sales,Sale,Ready,Free Hold,Residential,CITY WALK,Unit,Flats,3912404,177.35,177.35,2 B/R,"B-96, B-97",Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Burj Khalifa,1,1,,NO. 6A AND NO.6B CITYWALK RESIDENTIAL
11-11339-2024,3/27/2024 15:18,Sales,Sale,Ready,Free Hold,Residential,JUMEIRAH VILLAGE CIRCLE,Unit,Flats,579174.2,56.1,56.1,1 B/R,P3-26,Dubai Internet City,Mall of the Emirates,Sports City Swimming Academy,1,3,,
11-11341-2024,3/27/2024 15:52,Sales,Sale,Ready,Free Hold,Residential,DUBAI SPORTS CITY,Unit,Flats,510000,75.32,75.32,1 B/R,G-40,Nakheel Metro Station,Marina Mall,Sports City Swimming Academy,1,1,,GRAND HORIZON 1
11-11344-2024,3/28/2024 10:48,Sales,Sale,Ready,Free Hold,Residential,JUMEIRAH BEACH RESIDENCE,Unit,Flats,4250000,155.06,155.06,2 B/R,"B2-131, B2-132",Jumeirah Beach Residency,Marina Mall,Burj Al Arab,1,1,,
11-11348-2024,3/27/2024 15:48,Sales,Sale,Ready,Free Hold,Residential,DUBAI HEALTHCARE CITY - PHASE 2,Unit,Flats,1763900,126.28,126.28,2 B/R,B1-46,Al Jadaf Metro Station,Dubai Mall,Downtown Dubai,2,1,,
11-11363-2024,3/28/2024 12:58,Sales,Sale,Ready,Free Hold,Residential,REMRAAM,Unit,Flats,800000,92.51,92.51,2 B/R,G-142,,,Motor City,1,1,,REMRAAM
11-11366-2024,3/28/2024 13:28,Sales,Sale,Ready,Non Free Hold,Residential,Nad Al Shiba Third,Land,,3700000,469.12,469.12,,,Creek Metro Station,City Centre Mirdif,,1,1,,
11-11367-2024,3/28/2024 9:23,Sales,Sale,Ready,Free Hold,Residential,ARJAN,Unit,Flats,1300000,131.38,131.38,2 B/R,G-01,Sharaf Dg Metro Station,Mall of the Emirates,Motor City,1,3,,SIRAJ TOWER
11-11374-2024,3/27/2024 15:40,Sales,Sale,Ready,Free Hold,Residential,BUSINESS BAY,Unit,Flats,1680000,132.11,132.11,2 B/R,MB - 103,Business Bay Metro Station,Dubai Mall,Burj Khalifa,1,2,,
11-11377-2024,3/28/2024 12:21,Sales,Sale,Ready,Free Hold,Residential,JUMEIRAH VILLAGE CIRCLE,Unit,Flats,1027872.79,96.97,96.97,1 B/R,P4-12,Dubai Internet City,Mall of the Emirates,Sports City Swimming Academy,1,3,,
11-11381-2024,3/27/2024 15:44,Sales,Sale,Ready,Free Hold,Residential,MBR DISTRICT 1,Unit,Flats,1530000,73.25,73.25,1 B/R,G-002,,,,1,1,,"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 23"
11-11382-2024,3/28/2024 11:29,Sales,Sale,Ready,Free Hold,Residential,JUMEIRAH VILLAGE CIRCLE,Unit,Flats,563441.58,55.1,55.1,1 B/R,P3-21,Dubai Internet City,Mall of the Emirates,Sports City Swimming Academy,1,3,,
11-11383-2024,3/28/2024 9:21,Sales,Sale,Ready,Free Hold,Residential,MUDON,Land,Residential,3100000,387.59,387.59,,,,,Dubai Cycling Course,2,1,,ARABELLA 2 - TOWNHOUSES AT MUDON
11-11386-2024,3/28/2024 10:43,Sales,Sale,Ready,Free Hold,Residential,DUBAI CREEK HARBOUR,Unit,Flats,2000000,91.15,91.15,1 B/R,L1-89,Creek Metro Station,Dubai Mall,Dubai International Airport,1,1,,THE DUBAI CREEK RESIDENCES
11-11394-2024,3/27/2024 16:01,Sales,Sale,Ready,Free Hold,Residential,DUBAI INDUSTRIAL CITY,Building,Villas,840000,133.52,133.52,3 B/R,,,,Al Makhtoum International Airport,2,2,,SAHARA MEADOWS1
11-11396-2024,3/27/2024 16:05,Sales,Sale,Ready,Free Hold,Residential,THE GREENS,Unit,Flats,1025000,75.8,75.8,1 B/R,B-178,Dubai Internet City,Marina Mall,Burj Al Arab,2,1,,
11-11399-2024,3/27/2024 15:55,Sales,Sale,Ready,Free Hold,Residential,DAMAC HILLS,Unit,Flats,820000,67.35,67.35,2 B/R,P2-166,,,Motor City,1,1,,DAMAC HILLS - GOLF VITA
11-11400-2024,3/28/2024 11:05,Sales,Sale,Ready,Free Hold,Residential,MEYDAN ONE,Unit,Flats,900000,50.55,50.55,1 B/R,B1-26,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Downtown Dubai,1,1,,Azizi Riviera 15
11-11403-2024,3/28/2024 12:45,Sales,Sale,Ready,Free Hold,Residential,JUMEIRAH BEACH RESIDENCE,Unit,Flats,8200000,137.03,137.03,2 B/R,B2-010,Jumeirah Beach Residency,Marina Mall,Burj Al Arab,1,1,,Jumeirah Gate
11-11404-2024,3/28/2024 10:46,Sales,Sale,Ready,Free Hold,Residential,INTERNATIONAL CITY PH 1,Unit,Flats,325000,68,68,1 B/R,,Rashidiya Metro Station,City Centre Mirdif,,1,2,,
11-11406-2024,3/27/2024 19:38,Sales,Sale,Ready,Free Hold,Residential,DUBAI HEALTHCARE CITY - PHASE 2,Unit,Flats,978020,33.77,33.77,Studio,B-15,Healthcare City Metro Station,Dubai Mall,Downtown Dubai,1,1,,Farhad Azizi Residence
11-11407-2024,3/28/2024 5:48,Sales,Sale,Ready,Free Hold,Residential,JUMEIRAH VILLAGE CIRCLE,Unit,Flats,850000,86.13,86.13,1 B/R,G-96,Dubai Internet City,Mall of the Emirates,Sports City Swimming Academy,1,1,,MAY RESIDENCE
11-11408-2024,3/28/2024 7:53,Sales,Sale,Ready,Free Hold,Residential,DUBAI SOUTH,Unit,Flats,796200,107.51,107.51,2 B/R,G-13,,,Expo 2020 Site,1,1,,The Pulse Residence Park
11-11409-2024,3/28/2024 9:23,Sales,Sale,Ready,Free Hold,Residential,Al Merkadh,Land,Residential,4275025,467.25,467.25,,,,,,1,1,,
11-11410-2024,3/28/2024 9:20,Sales,Sale,Ready,Free Hold,Residential,SOBHA HEARTLAND,Land,Residential,4082812,642.9,642.9,,,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Downtown Dubai,1,1,,
11-11411-2024,3/28/2024 9:17,Sales,Sale,Ready,Free Hold,Residential,SOBHA HEARTLAND,Land,Residential,4082393,642.82,642.82,,,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Downtown Dubai,1,1,,
11-11413-2024,3/28/2024 9:25,Sales,Sale,Ready,Free Hold,Residential,BUSINESS BAY,Unit,Flats,1250000,121.52,121.52,1 B/R,LB - 38,Business Bay Metro Station,Dubai Mall,Burj Khalifa,1,1,,
11-11414-2024,3/28/2024 9:04,Sales,Sale,Ready,Free Hold,Residential,BUSINESS BAY,Unit,Hotel Apartments,7806362.86,177.89,177.89,2 B/R,"P4-17, P4-18",Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Downtown Dubai,1,1,,SLS DUBAI
11-11415-2024,3/28/2024 10:54,Sales,Sale,Ready,Free Hold,Residential,BURJ KHALIFA,Unit,Flats,3400000,151.9,151.9,2 B/R,L1-011,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Downtown Dubai,1,1,,
11-11416-2024,3/28/2024 10:14,Sales,Sale,Ready,Free Hold,Residential,JUMEIRAH LAKES TOWERS,Unit,Flats,1650000,73.02,73.02,1 B/R,DMCC-3272,Jumeirah Lakes Towers,Marina Mall,Sports City Swimming Academy,1,2,,MBL RESIDENCE
11-11417-2024,3/28/2024 10:19,Sales,Sale,Ready,Free Hold,Residential,DUBAI HILLS,Unit,Flats,1220000,44.59,44.59,1 B/R,B-165,First Abu Dhabi Bank Metro Station,Mall of the Emirates,Burj Al Arab,1,1,,Collective 2.0
11-11419-2024,3/28/2024 12:01,Sales,Sale,Ready,Free Hold,Residential,DUBAI SPORTS CITY,Unit,Flats,600000,98.62,98.62,2 B/R,B1-110,Nakheel Metro Station,Marina Mall,Sports City Swimming Academy,1,1,,GLOBAL GOLF RESIDENCE 2
11-11421-2024,3/28/2024 12:09,Sales,Sale,Ready,Free Hold,Residential,DUBAI SPORTS CITY,Unit,Flats,600000,98.46,98.46,2 B/R,B1-106,Nakheel Metro Station,Marina Mall,Sports City Swimming Academy,1,1,,GLOBAL GOLF RESIDENCE 2
11-11422-2024,3/28/2024 10:58,Sales,Sale,Ready,Free Hold,Residential,EMAAR SOUTH,Unit,Flats,660000,60.16,60.16,1 B/R,G-135,,,Al Makhtoum International Airport,2,1,,Golf Views 
11-11424-2024,3/28/2024 11:40,Sales,Sale,Ready,Free Hold,Residential,DUBAI HILLS,Unit,Flats,1140000,44.14,44.14,1 B/R,B-98,First Abu Dhabi Bank Metro Station,Mall of the Emirates,Burj Al Arab,1,1,,Socio
11-11425-2024,3/28/2024 9:36,Sales,Sale,Ready,Free Hold,Residential,SOBHA HEARTLAND,Land,Residential,4082830,642.9,642.9,,,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Downtown Dubai,1,1,,
11-11426-2024,3/28/2024 10:17,Sales,Sale,Ready,Free Hold,Residential,DUBAI MARINA,Unit,Flats,1250000,68.38,68.38,1 B/R,P1-3,Dubai Marina,Marina Mall,Burj Al Arab,2,1,,
11-11427-2024,3/28/2024 13:20,Sales,Sale,Ready,Free Hold,Residential,INTERNATIONAL CITY PH 1,Unit,Flats,350000,68,68,1 B/R,,Rashidiya Metro Station,City Centre Mirdif,,1,1,,
11-11428-2024,3/28/2024 9:58,Sales,Sale,Ready,Free Hold,Residential,JUMEIRAH BEACH RESIDENCE,Unit,Flats,2400000,130.04,130.04,2 B/R,B482,Jumeirah Beach Resdency,Marina Mall,Burj Al Arab,1,1,,
11-11429-2024,3/28/2024 10:36,Sales,Sale,Ready,Free Hold,Residential,INTERNATIONAL CITY PH 1,Unit,Flats,480000,66.52,66.52,2 B/R,GF-38,Rashidiya Metro Station,City Centre Mirdif,,1,1,,
11-11432-2024,3/28/2024 10:18,Sales,Sale,Ready,Free Hold,Residential,JUMEIRAH GOLF,Land,Residential,7500000,297.11,297.11,,,Damac Properties,Ibn-e-Battuta Mall,Sports City Swimming Academy,1,2,,RED WOOD PARK
11-11433-2024,3/28/2024 10:57,Sales,Sale,Ready,Free Hold,Residential,DUBAI SOUTH,Unit,Flats,350000,33.91,33.91,Studio,G-69,,,Expo 2020 Site,1,1,,MAG 5 BOULEVARD
11-11435-2024,3/28/2024 13:30,Sales,Sale,Ready,Free Hold,Residential,INTERNATIONAL CITY PH 1,Unit,Flats,1500000,221.18,221.18,3 B/R,"PG-1909, PG-1910",Rashidiya Metro Station,City Centre Mirdif,,1,1,,
11-11436-2024,3/28/2024 10:43,Sales,Sale,Ready,Free Hold,Residential,JUMEIRAH VILLAGE CIRCLE,Unit,Flats,1760000,136.32,136.32,2 B/R,P1-46,Dubai Internet City,Mall of the Emirates,Sports City Swimming Academy,1,1,,Catch Residences By IGO 
11-11437-2024,3/28/2024 13:09,Sales,Sale,Ready,Free Hold,Residential,DUBAI MARINA,Unit,Flats,835000,84.57,84.57,1 B/R,P471,Mina Seyahi,Marina Mall,Burj Al Arab,1,1,,SULAFA TOWER
11-11438-2024,3/28/2024 10:28,Sales,Sale,Ready,Free Hold,Residential,THE GREENS,Unit,Flats,2800000,143.72,143.72,2 B/R,P1-21,Nakheel Metro Station,Marina Mall,Burj Al Arab,1,1,,
11-11439-2024,3/28/2024 11:32,Sales,Sale,Ready,Free Hold,Residential,REMRAAM,Unit,Flats,587500,71.85,71.85,1 B/R,G-95,,,Motor City,1,1,,REMRAAM
11-11441-2024,3/28/2024 10:47,Sales,Sale,Ready,Free Hold,Commercial,PALM JUMEIRAH,Land,Commercial,20000000,1245.29,1245.29,,,Al Sufouh,Marina Mall,Burj Al Arab,1,1,,
11-11444-2024,3/28/2024 14:41,Sales,Sale,Ready,Free Hold,Residential,DUBAI SPORTS CITY,Unit,Flats,600000,99.1,99.1,2 B/R,B1-104,Nakheel Metro Station,Marina Mall,Sports City Swimming Academy,1,1,,GLOBAL GOLF RESIDENCE 2
11-11445-2024,3/28/2024 12:15,Sales,Sale,Ready,Free Hold,Residential,DUBAI SPORTS CITY,Unit,Flats,600000,98.62,98.62,2 B/R,B2-76,Nakheel Metro Station,Marina Mall,Sports City Swimming Academy,1,1,,GLOBAL GOLF RESIDENCE 2
11-11447-2024,3/28/2024 13:23,Sales,Sale,Ready,Free Hold,Residential,DUBAI SPORTS CITY,Unit,Flats,600000,94.71,94.71,2 B/R,B1-25,Nakheel Metro Station,Marina Mall,Sports City Swimming Academy,1,1,,GLOBAL GOLF RESIDENCE 2
11-11449-2024,3/28/2024 10:11,Sales,Sale,Ready,Free Hold,Residential,JUMEIRAH VILLAGE CIRCLE,Unit,Flats,980000,122.37,122.37,2 B/R,B2-207,Nakheel Metro Station,Marina Mall,Sports City Swimming Academy,2,1,,PLAZA RESIDENCES
11-11450-2024,3/28/2024 11:06,Sales,Sale,Ready,Free Hold,Residential,DUBAI HILLS,Land,Residential Flatss,8110000,432,432,,,First Abu Dhabi Bank Metro Station,Mall of the Emirates,Motor City,1,2,,SIDRA
11-11452-2024,3/28/2024 12:00,Sales,Sale,Ready,Non Free Hold,Residential,Al Warqa Second,Land,Government Housing,8000000,1932.75,1932.75,,,Rashidiya Metro Station,City Centre Mirdif,Dubai International Airport,1,1,,
11-11453-2024,3/28/2024 13:23,Sales,Sale,Ready,Free Hold,Residential,DUBAI CREEK HARBOUR,Unit,Flats,1390000,62.72,62.72,1 B/R,B2-172,Creek Metro Station,City Centre Mirdif,Dubai International Airport,1,1,,CREEKSIDE 18
11-11454-2024,3/28/2024 11:58,Sales,Sale,Ready,Free Hold,Residential,BLUEWATERS,Unit,Flats,13500000,201.87,201.87,3 B/R,"B239, B240",Jumeirah Beach Residency,Marina Mall,Burj Al Arab,2,2,,Bluewaters Residences 
11-11455-2024,3/28/2024 13:40,Sales,Sale,Ready,Free Hold,Residential,DUBAI SPORTS CITY,Unit,Flats,600000,98.96,98.96,2 B/R,B1-32,Nakheel Metro Station,Marina Mall,Sports City Swimming Academy,1,1,,GLOBAL GOLF RESIDENCE 2
11-11457-2024,3/28/2024 11:40,Sales,Sale,Ready,Free Hold,Residential,BURJ KHALIFA,Unit,Flats,3150000,122.45,122.45,2 B/R,B-2050,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Downtown Dubai,1,1,,
11-11458-2024,3/28/2024 12:49,Sales,Sale,Ready,Free Hold,Residential,BUSINESS BAY,Unit,Flats,1050000,72.4,72.4,1 B/R,P3-37,Business Bay Metro Station,Dubai Mall,Downtown Dubai,1,1,,FAIR VIEW RESIDENCY
11-11460-2024,3/28/2024 10:41,Sales,Sale,Ready,Free Hold,Residential,TOWN SQUARE,Unit,Flats,1215000,201.33,201.33,2 B/R,P-381,,,Dubai Cycling Course,1,1,,TOWN SQUARE JENNA AND WARDA
11-11461-2024,3/28/2024 11:08,Sales,Sale,Ready,Free Hold,Residential,JUMEIRAH VILLAGE CIRCLE,Unit,Flats,1250000,75.56,75.56,1 B/R,G-01,Nakheel Metro Station,Marina Mall,Sports City Swimming Academy,2,1,,BELGRAVIA III
